ERBB2	EGFR	MET
CRC0050	FALSE	FALSE	FALSE
CRC0051	FALSE	FALSE	FALSE
CRC0052	FALSE	FALSE	FALSE
CRC0053	FALSE	FALSE	FALSE
CRC0014	FALSE	FALSE	FALSE
CRC0054	FALSE	FALSE	FALSE
CRC0055	FALSE	FALSE	FALSE
CRC0015	FALSE	FALSE	FALSE
CRC0017	FALSE	FALSE	FALSE
CRC0018	FALSE	FALSE	FALSE
CRC0020	FALSE	FALSE	FALSE
CRC0056	FALSE	FALSE	FALSE
CRC0057	FALSE	FALSE	FALSE
CRC0242	FALSE	FALSE	FALSE
CRC0058	FALSE	FALSE	FALSE
CRC0059	FALSE	FALSE	FALSE
CRC0060	FALSE	FALSE	FALSE
CRC0061	FALSE	FALSE	FALSE
CRC0062	FALSE	FALSE	FALSE
CRC0063	FALSE	FALSE	FALSE
CRC0022	FALSE	FALSE	FALSE
CRC0023	FALSE	FALSE	FALSE
CRC0024	FALSE	FALSE	FALSE
CRC0025	FALSE	FALSE	FALSE
CRC0064	FALSE	FALSE	FALSE
CRC0065	FALSE	FALSE	FALSE
CRC0243	FALSE	FALSE	FALSE
CRC0066	FALSE	FALSE	FALSE
CRC0067	FALSE	FALSE	FALSE
CRC0068	FALSE	FALSE	FALSE
CRC0069	FALSE	FALSE	FALSE
CRC0070	FALSE	FALSE	FALSE
CRC0244	FALSE	FALSE	FALSE
CRC0071	FALSE	FALSE	FALSE
CRC0028	FALSE	FALSE	FALSE
CRC0027	FALSE	FALSE	FALSE
CRC0021	FALSE	FALSE	FALSE
CRC0029	FALSE	FALSE	FALSE
CRC0106	FALSE	FALSE	FALSE
CRC0030	FALSE	FALSE	FALSE
CRC0072	FALSE	FALSE	FALSE
CRC0031	FALSE	FALSE	FALSE
CRC0094	FALSE	FALSE	FALSE
CRC0095	FALSE	FALSE	FALSE
CRC0096	FALSE	FALSE	FALSE
CRC0076	FALSE	FALSE	FALSE
CRC0077	FALSE	FALSE	FALSE
CRC0019	FALSE	FALSE	FALSE
CRC0078	FALSE	FALSE	FALSE
CRC0079	FALSE	FALSE	FALSE
CRC0080	TRUE	FALSE	FALSE
CRC0081	FALSE	FALSE	FALSE
CRC0032	FALSE	FALSE	FALSE
CRC0082	FALSE	FALSE	FALSE
CRC0083	FALSE	FALSE	FALSE
CRC0085	FALSE	FALSE	FALSE
CRC0084	FALSE	FALSE	FALSE
CRC0073	FALSE	FALSE	FALSE
CRC0108	FALSE	FALSE	FALSE
CRC0086	FALSE	FALSE	FALSE
CRC0097	FALSE	FALSE	FALSE
CRC0098	FALSE	TRUE	FALSE
CRC0099	FALSE	FALSE	FALSE
CRC0100	FALSE	FALSE	FALSE
CRC0246	FALSE	FALSE	FALSE
CRC0101	FALSE	FALSE	FALSE
CRC0102	FALSE	FALSE	FALSE
CRC0103	FALSE	FALSE	FALSE
CRC0104	FALSE	FALSE	FALSE
CRC0105	FALSE	FALSE	FALSE
CRC0109	FALSE	FALSE	FALSE
CRC0110	FALSE	FALSE	FALSE
CRC0111	FALSE	FALSE	FALSE
CRC0112	TRUE	FALSE	FALSE
CRC0113	FALSE	FALSE	FALSE
CRC0362	FALSE	FALSE	FALSE
CRC0114	FALSE	FALSE	FALSE
CRC0115	FALSE	FALSE	FALSE
CRC0248	FALSE	FALSE	FALSE
CRC0116	FALSE	FALSE	FALSE
CRC0117	FALSE	FALSE	FALSE
CRC0118	FALSE	FALSE	FALSE
CRC0119	FALSE	FALSE	FALSE
CRC0120	FALSE	FALSE	FALSE
CRC0121	FALSE	FALSE	FALSE
CRC0122	FALSE	FALSE	FALSE
CRC0123	FALSE	FALSE	FALSE
CRC0124	TRUE	FALSE	FALSE
CRC0125	FALSE	FALSE	FALSE
CRC0136	FALSE	FALSE	FALSE
CRC0253	FALSE	FALSE	FALSE
CRC0137	FALSE	FALSE	FALSE
CRC0138	FALSE	FALSE	FALSE
CRC0139	FALSE	FALSE	FALSE
CRC0140	FALSE	FALSE	FALSE
CRC0126	FALSE	FALSE	FALSE
CRC0127	FALSE	FALSE	FALSE
CRC0128	FALSE	FALSE	FALSE
CRC0129	FALSE	FALSE	FALSE
CRC0130	FALSE	FALSE	FALSE
CRC0131	FALSE	FALSE	FALSE
CRC0132	FALSE	FALSE	FALSE
CRC0133	FALSE	FALSE	FALSE
CRC0134	FALSE	FALSE	FALSE
CRC0135	FALSE	FALSE	FALSE
CRC0141	FALSE	FALSE	FALSE
CRC0142	FALSE	FALSE	FALSE
CRC0143	FALSE	FALSE	FALSE
CRC0144	FALSE	FALSE	FALSE
CRC0145	FALSE	FALSE	FALSE
CRC0146	FALSE	FALSE	FALSE
CRC0147	FALSE	FALSE	FALSE
CRC0148	FALSE	FALSE	FALSE
CRC0149	FALSE	FALSE	FALSE
CRC0150	FALSE	FALSE	FALSE
CRC0151	FALSE	FALSE	FALSE
CRC0152	FALSE	FALSE	FALSE
CRC0153	FALSE	FALSE	FALSE
CRC0154	FALSE	FALSE	FALSE
CRC0155	FALSE	FALSE	FALSE
CRC0156	FALSE	FALSE	FALSE
CRC0157	FALSE	FALSE	FALSE
CRC0158	FALSE	FALSE	FALSE
CRC0159	FALSE	FALSE	FALSE
CRC0160	FALSE	FALSE	FALSE
CRC0161	FALSE	FALSE	FALSE
CRC0162	FALSE	FALSE	FALSE
CRC0163	FALSE	FALSE	FALSE
CRC0164	FALSE	FALSE	FALSE
CRC0165	FALSE	FALSE	FALSE
CRC0166	FALSE	FALSE	FALSE
CRC0167	FALSE	FALSE	FALSE
CRC0168	FALSE	FALSE	FALSE
