case	perc
CRC0022	196
CRC0030	6.5
CRC0031	88.5
CRC0055	205
CRC0059	-64.5
CRC0065	-40.5
CRC0066	-13.5
CRC0069	-57
CRC0076	-52
CRC0078	-60.2
CRC0079	200.5
CRC0080	150
CRC0081	35
CRC0095	5.5
CRC0096	-72
CRC0097	-32
CRC0099	-9
CRC0103	-35
CRC0116	-61
CRC0124	100.5
CRC0125	105
CRC0134	179.5
CRC0137	-34.5
CRC0148	344
CRC0150	144
CRC0151	325.5
CRC0152	525
CRC0161	139
CRC0166	33.1842
CRC0171	-36
CRC0177	166.5
CRC0186	666
CRC0188	-49
CRC0196	172
CRC0204	-30
CRC0231	462
CRC0254	-68
CRC0277	204.115286849837
CRC0285	24.8775
CRC0291	194.364339953271
CRC0297	-58.67725
CRC0316	39
CRC0322	-59.631
CRC0327	-78.85
CRC0370	-32.4293298820131
CRC0399	-55.368713080608
CRC0404	-56.4753733848698
CRC0441	-34.0967075505075
CRC0475	-47.8038992517971
CRC0515	144.464586438183
CRC0534	-63
CRC0542	-74.9803603413158
CRC0578	-45
CRC0729	259
CRC0743	-89
CRC0772	-16
CRC1145	-20
CRC1169	194
CRC1272	-66
CRC1278	52
CRC1306	61.38
CRC1314	42.35
CRC1321	-8
CRC1331	-79
CRC1360	125.17
CRC1367	27
CRC1376	175
CRC1389	2.5
CRC1399	161
CRC1430	448.8
CRC1432	492
CRC1445	97.57
CRC1449	370.63
CRC1472	12.13
CRC1502	139.3
CRC1561	-21.24
CRC1575	133.73
CRC1579	-24.67
CRC1599	33.62
CRC1723	11.21
CRC1895	-67.37
CRC1903	103.94
CRC1916	109.67
CRC1989	-36.91
