CRC0022	CRC0030	CRC0031	CRC0051	CRC0055	CRC0059	CRC0065	CRC0066	CRC0069	CRC0076	CRC0078	CRC0079	CRC0080	CRC0081	CRC0095	CRC0096	CRC0097	CRC0099	CRC0103	CRC0116	CRC0123	CRC0124	CRC0125	CRC0134	CRC0137	CRC0148	CRC0150	CRC0151	CRC0152	CRC0161	CRC0166	CRC0169	CRC0171	CRC0177	CRC0186	CRC0188	CRC0196	CRC0204	CRC0231	CRC0254	CRC0277	CRC0285	CRC0291	CRC0297	CRC0316	CRC0322	CRC0327	CRC0355	CRC0370	CRC0399	CRC0404	CRC0441	CRC0464	CRC0475	CRC0515	CRC0534	CRC0542	CRC0544	CRC0568	CRC0572	CRC0578	CRC0729	CRC0743	CRC0772	CRC1078	CRC1090	CRC1139	CRC1145	CRC1169	CRC1239	CRC1241	CRC1251	CRC1272	CRC1278	CRC1306	CRC1307	CRC1314	CRC1321	CRC1331	CRC1359	CRC1360	CRC1367	CRC1376	CRC1389	CRC1390	CRC1399	CRC1430	CRC1432	CRC1445	CRC1446	CRC1449	CRC1451	CRC1460	CRC1472	CRC1477	CRC1502	CRC1523	CRC1561	CRC1568	CRC1575	CRC1579	CRC1588	CRC1589	CRC1598	CRC1599	CRC1614	CRC1620	CRC1628	CRC1629	CRC1675	CRC1723	CRC1729	CRC1744	CRC1745	CRC1757	CRC1774	CRC1888	CRC1895	CRC1900	CRC1903	CRC1916	CRC1917	CRC1961	CRC1979	CRC1989
CRC0022	0.78607163140769	0.542361681119392	0.571712258616773	0.502408614640724	0.123966774938822	0.52578763398029	0.369651891293518	0.339160056092242	0.515837372906134	0.316367335905932	0.504553195505884	0.0871272912424037	0.223361214758199	0.278451744920873	0.611279435407178	0.373538046464143	0.656438450978441	0.496982516489214	0.628526525030699	0.326650757753267	0.179620196226632	0.4644332606953	0.424497180611505	0.368841179078731	0.123086269186741	0.109128258419399	0.435325788455512	0.372699608460663	0.224522403249769	0.246802595021923	0.454918399511005	0.20349540301358	0.217215284856957	0.437506146795697	0.636168888299246	0.458811928630038	0.271488650616742	0.494182885228411	0.130796295503759	0.565607202414165	0.40916164641967	0.4680023106093	0.191902210410341	0.355025168587228	0.393159611631341	0.490391451847628	0.350764348432082	0.289338592520355	0.715958525260826	0.525218446889812	0.409528624533665	0.457298785844315	0.426294878709082	0.431453297291283	0.364804708729513	0.540450338760773	0.439987956096314	0.526531281322081	0.545848811940571	0.494506551062241	0.523983963134831	0.482678712507845	0.493886794456917	0.558535028208153	0.717588477875708	0.270725865310524	0.462349697080916	0.514155954052584	0.567713691739293	0.435583596286707	0.254347888146112	0.469980132893885	0.399456976925428	0.581644199827781	0.683017961103092	0.643361869122523	0.305325307265787	0.421726052858372	0.559529331297003	0.502754902370497	0.373911977833943	0.528526835957629	0.401635878941139	0.639315328270897	0.42464182843235	0.233701665342449	0.463863748035362	0.374893318866533	0.322516971528939	0.606013410075116	0.522701934071058	0.204175968196236	0.372398032089867	0.119990585599267	0.618592741949548	0.523364376116014	0.235825114052073	0.49330095204435	0.615322766896369	0.622517732090904	0.497267198371322	0.591938370365891	0.358551292919323	0.31947266245114	0.484855288360461	0.270667945853712	0.41063531625803	0.189095833458758	0.435518944177727	0.541660628403625	0.500419104859578	0.51482836731537	0.173590578924653	0.279342119713326	-0.00987693548699036	0.547047574880484	0.471304547256948	0.661440700655511	0.437721598467455	0.108790117279341	0.503658014213859	0.588653198525435	0.278021153480631	0.424302042526356	0.510766291176268
CRC0030	0.6241909785496	0.789733188358381	0.528105828739916	0.333849502862317	-0.0109641393686639	0.331387479487259	0.201536598024663	0.366005806119728	0.46746042974838	0.412012310472392	0.483400272782599	0.24703310879504	0.286484861322682	0.246027760687687	0.435368757077569	0.36527009774102	0.413233360790083	0.512872339843271	0.582910455813108	0.126256504759375	0.219578965371002	0.408000283353719	0.326243567070653	0.447330531258619	0.212191264301499	0.17322147982904	0.215704414546588	0.404544450334432	0.421742210813874	0.0425218106079852	0.317351064841073	0.230909250196925	0.276926525093541	0.539430024861527	0.493243818105036	0.44506289823716	0.387728358985022	0.506867247809022	0.220614964241686	0.335712341508329	0.274821073714132	0.484791677871841	0.118875710274709	0.230153361704888	0.353721737775339	0.202516839199529	0.203300981228751	0.535579466489683	0.575836091782729	0.367937440579492	0.385674294391461	0.412001531777351	0.361963575459365	0.496476906055119	0.554543989401555	0.369655688665183	0.493343831764316	0.511971499630489	0.472102205110793	0.420549309568855	0.589228734027202	0.530205674640058	0.345527364822136	0.413563086693246	0.619100797355314	0.487641719650153	0.306758040816507	0.329789650934971	0.569589114676007	0.408024618856684	0.225021980498931	0.322813232486611	0.263709810080137	0.585153358646296	0.469707469295229	0.440024203348997	0.24838169547979	0.386903387027938	0.465473468323706	0.449126392525243	0.534504247392321	0.337717120398353	0.564246942807504	0.479915966466419	0.341103075250809	0.27973626291912	0.413962291021351	0.260883980463405	0.162579442630474	0.499693594297151	0.467072451462271	0.443434839630123	0.252340574956567	0.267194025244556	0.262858028158449	0.332492979129124	0.346294165324851	0.537409268141046	0.712336899900806	0.496230861517764	0.430280078186326	0.483761600413218	0.442403324327526	0.522876138443478	0.340433691373641	0.234194122639704	0.560966433154007	0.362667112314607	0.420225110807988	0.486546687788837	0.444982193322039	0.515957366515188	0.382731067672431	0.418233163495519	0.117464698907982	0.291651109480916	0.329903845898608	0.45733284587064	0.266185077108816	0.15784865598093	0.394956149262397	0.492067945360045	0.296166576209391	0.317349743537741	0.380303266156124
CRC0031	0.512502347434956	0.594449785087727	0.980985051027167	0.5893497491063	0.171942922325134	0.429191207545973	0.461559215284516	0.477444762548925	0.531679493010918	0.365783191827286	0.577279173509215	0.407846377035042	0.348220201083828	0.294324565417293	0.572843079751625	0.403213735608828	0.565660481426072	0.486360400445589	0.597700837956118	0.328628371815551	0.186926377961592	0.489704590103467	0.277101523219347	0.326106747633815	0.375754474579132	0.172043919645589	0.448538643380822	0.547551774882991	0.353191182889703	0.342418760294857	0.451382977793939	0.205586132341259	0.190804915747049	0.486920895056122	0.639339433758548	0.56461287589588	0.357861309523292	0.583914181915285	0.12208294970661	0.513335279573863	0.30458977237828	0.49085248231317	0.249192384118748	0.505039656239703	0.481279125436225	0.492182171307248	0.404687007804039	0.382036099325722	0.71462595271703	0.439565429531989	0.442121145666169	0.393737662985862	0.455338728413946	0.602096999640667	0.396042687135148	0.360242489682302	0.415594911884504	0.519672595431983	0.495177460892831	0.504532222608767	0.538978435326366	0.551847609681764	0.53137585997463	0.610077779104721	0.702178418370585	0.448106960751184	0.324203882582969	0.256034194218986	0.608769227190919	0.293294637863405	0.247425728030505	0.555220131098048	0.47486242575422	0.537501093065936	0.666861154176982	0.643971101692923	0.312326028937758	0.374874180403087	0.625685202829027	0.511068636067657	0.472078508154922	0.546868051468259	0.457327908344819	0.567544040845238	0.301394421580885	0.348312283747349	0.598504922906963	0.33071944424964	0.279934114146398	0.608364192099448	0.478282047720788	0.478108689391247	0.332921086637149	0.193245371899046	0.318526968156422	0.535805565635607	0.301842736288286	0.561035365242486	0.498332832946275	0.623953303149489	0.571704858217108	0.530804514256137	0.469339836619752	0.340522537489502	0.603015537377618	0.381889039253994	0.434965393968961	0.452756854336698	0.518208315893983	0.721567944320169	0.576515173706663	0.465263149805837	0.419095355177392	0.610394985537467	0.01580174567822	0.563468237069877	0.40273342559805	0.512069207614835	0.374704555618614	0.343847978217811	0.484756328386682	0.557923662631936	0.296529025649518	0.427492192271826	0.464829003315307
CRC0051	0.467425098140843	0.609893756951364	0.646598684063059	0.936393441373201	0.4004005597366	0.517047721303105	0.49773871321499	0.410079210847688	0.549961851149468	0.52594042022982	0.573634307431688	0.438381780871888	0.344899024794099	0.417839838149511	0.564810323789277	0.472093980522124	0.475971863595305	0.49601359123816	0.611639622564096	0.26471942729715	0.18623513660116	0.592528229378288	0.38584720343047	0.315214790437097	0.36546236485012	0.241344082142529	0.538554911196023	0.378611763183849	0.454498748810642	0.406326753299458	0.594417030747981	0.266566878729351	0.333250568784556	0.444877281226014	0.610014758048025	0.589075069446479	0.441067234661648	0.591319159997365	0.277189047058491	0.529761188114833	0.37502697809772	0.399673990624344	0.252730348617172	0.535169722890001	0.526352960620376	0.55868813525315	0.394383113601205	0.285984814786344	0.684742953578679	0.564534595079273	0.417061679196911	0.465621452992982	0.426176552880808	0.471182739876942	0.401899264183556	0.41943786284487	0.414230657806761	0.515672623794909	0.556974864673717	0.441379896949396	0.582221887662699	0.465843472816549	0.502408906909256	0.622160315138978	0.643937617560476	0.445708352527266	0.502684521958088	0.429048790979585	0.466764917334442	0.314843849988872	0.317648464946318	0.52012658060805	0.585137969198173	0.466245449797997	0.707481652696334	0.687870559671691	0.323955906820183	0.327290772919566	0.672869555335517	0.474894062944527	0.438573525914054	0.588855730038604	0.447914150277185	0.560086370453809	0.453249864897506	0.28587380522212	0.522974329758643	0.483572261437849	0.425531225412803	0.573597791884934	0.526847498455944	0.292840781094737	0.500823005881005	0.310664884915529	0.448995249841423	0.625506192031766	0.290342100675637	0.554002879976047	0.401463315198701	0.571281307783689	0.423705102274571	0.515478609357645	0.469758953277406	0.487795701766093	0.557323049547663	0.266496206097336	0.419957817822751	0.310252023160197	0.564216659395666	0.638894887375047	0.523340255401307	0.302810415701676	0.437913371896328	0.494866195152294	0.1856316074689	0.628389970048943	0.501280014359805	0.589648631338299	0.53227693945617	0.375114287686989	0.66626189209815	0.626737075952427	0.405267962972399	0.569691147408676	0.477927397309809
CRC0055	-0.133021372508383	0.173138704462068	0.00925823342457831	0.231695933513077	0.757965523994664	0.32636684104851	0.275595957345645	0.220499115342019	-0.0432784215103567	0.319456251296051	0.0822445801348368	0.15938682222873	0.261733063648805	0.249174593194573	0.153572656453781	0.262102733021889	0.106650387420072	0.151415037173342	0.148457284493953	0.27504630771961	0.0300916565397401	0.153044831695299	0.0378706029604521	0.0169954379949805	0.160967552763372	-0.00175989615522888	0.307166821422545	0.0540347664545849	0.300423694923938	0.248852386215573	0.233355885608272	0.00562063251324553	0.557027223726605	0.174349948495327	0.0937611680868097	0.206820522354768	0.107972753143284	0.116912289827096	0.254140195774196	0.0176717680313889	0.0897298819871123	0.0718314806620527	0.375146641093339	0.343727510349439	0.216778757132766	0.264448764393309	0.353011669200269	-0.234057280659295	0.123706855986605	0.140340240828958	0.183290065801382	0.105984721332114	0.00291637452126164	0.0416778850199474	0.044791484912696	0.222044237774196	0.0418667070576608	-0.0320762131985857	0.303284315586611	0.198610516241704	0.125432135610128	-0.0704679948879509	0.226459101986308	0.0429032763335122	-0.0703690350197336	0.143321904533942	0.311766462945764	0.259769686875369	0.0524336402774057	-0.115235378994291	0.0617396494023644	0.0490160640975794	0.390736412114386	-0.160547789799031	0.19315358092366	0.0970328706910619	0.452201469715589	0.193441140689596	0.250116806684687	0.170799951946257	0.315884471163901	0.209531415599391	-0.0213729471642712	0.133561538460744	0.175765246658662	0.140740143355448	0.159442406969076	0.140880630308992	0.402372187081593	-0.0398692580636364	0.236114792500545	-0.0166623952319511	0.00844622797281857	0.0443537287193526	0.13778880615622	0.162296019356925	0.183860103641808	0.0351688800340121	-0.0941351930643099	0.046589876728438	0.124953735941998	0.0466830398661082	0.151584806926591	0.281873573335967	0.27655898952385	0.195391259459271	-0.0861334567994813	0.126653451678394	0.27375319599037	0.093504053888597	0.319828569128968	-0.478213605601402	0.0219879876718794	-0.155934924392313	0.434257489032425	0.279203809964309	-0.0929104009014536	0.120184765586894	0.448675384018025	0.300858916990459	0.33525208821176	0.0524230500611824	0.170997585626403	0.402725252413226	0.0414019413735947
CRC0059	0.468953373648617	0.628816070610472	0.496922905782797	0.565193816542434	0.488947531853387	0.798174358194749	0.571626339448902	0.507671950846531	0.504506886884939	0.479091766651378	0.602348170205103	0.432546027577551	0.43327394964937	0.500594249816559	0.603331635028765	0.521697934007366	0.568355453899176	0.6251673984752	0.582967422745351	0.569222813635529	0.205446054287617	0.492952366678004	0.4188974765335	0.273097070288927	0.380966104957604	0.152029908278882	0.571428515890383	0.395126552901195	0.41822950264461	0.37561840764528	0.610907759548642	0.0675915665647419	0.369790388409223	0.438306446155799	0.590167515129238	0.71312428703231	0.322405223283523	0.584425128622125	0.327556537833095	0.516742765047975	0.481283723269056	0.457370722055051	0.487626785160707	0.555846504638343	0.536637429444293	0.744176964436496	0.530714941949564	0.245441653307392	0.715308424703363	0.560013839091121	0.469631845940379	0.454357215526345	0.428069983998504	0.544035827437215	0.431945028978426	0.53756698946549	0.417574778653733	0.444730284312237	0.677643751464434	0.580536771238003	0.576113833287375	0.474392607404075	0.526422034492144	0.536287428090062	0.563833264235381	0.335018181972915	0.582838142274281	0.451551542039355	0.576794961940674	0.30259085711919	0.280456733962797	0.593483476717794	0.662661121941957	0.447741173344022	0.686137494337359	0.626596467601847	0.407708173958958	0.412001787627435	0.658835051920542	0.477606385732045	0.580661117648523	0.486936181487928	0.310089862263328	0.632255392847291	0.396261520605616	0.253328715662383	0.573152291946636	0.50530708626372	0.332673723622891	0.503735472220812	0.647062546044104	0.320876808812366	0.328297066861586	0.175717606450865	0.4537433318144	0.533151376162945	0.309619336718025	0.573224301333844	0.364000948608231	0.507080005883303	0.49390109447187	0.469083664162838	0.366954898817671	0.43983846276437	0.643460510586472	0.451475647267006	0.363777990429994	0.342116694711383	0.528765594971059	0.620731417174838	0.55007834791431	0.133867078291302	0.19920667089987	0.303741389859695	0.175534920463697	0.615933104520645	0.151065985839429	0.62723767263606	0.633405430171463	0.45594402043479	0.684408698085229	0.567542237119362	0.395328004939669	0.712708930969945	0.435741289285377
CRC0065	0.389082794357279	0.543796684723699	0.530036876917883	0.411204770804089	0.368686255773153	0.587189616780525	0.862714121076877	0.352922021367847	0.467224346044102	0.373239681718986	0.474247933064555	0.354633315312421	0.270258809403559	0.50119483621453	0.652855110393915	0.423992956208577	0.567740718509783	0.485019143844609	0.552410600208552	0.502578423588422	0.176685697689705	0.516826591140658	0.391999833809717	0.299488801447793	0.395608817444923	0.0433417927413848	0.416916511989301	0.519156363034978	0.484906882586088	0.327066775415142	0.536091739546175	0.119913886164178	0.188544635540021	0.489438573613744	0.575838214074488	0.567852021164808	0.329266992792191	0.541826311186768	0.0917208853519083	0.425859639171538	0.27025371921641	0.459721427510776	0.414085352854921	0.513183200874638	0.53077679198262	0.560375966811434	0.508305179284336	0.158269971628929	0.595094827130513	0.393889064298683	0.463736998747022	0.436064400482487	0.370961829614122	0.563244439275684	0.44351930277575	0.556682618602082	0.402409334064416	0.386164018467191	0.41021331669154	0.488894234266015	0.435299778000173	0.446611017264149	0.426673474053778	0.566240337188706	0.484952627255009	0.393094727632435	0.458078667008256	0.377954617733261	0.533556707688814	0.300408987078967	0.367473587930176	0.584986542574479	0.577283347096687	0.446651981945882	0.591810284878654	0.530419842739582	0.359458001214196	0.428399784738293	0.549529505118876	0.485033360666029	0.485276971909106	0.440577463679485	0.357419061947238	0.57985635446402	0.276595315912697	0.307119364901479	0.559234591262545	0.392646429559569	0.212398457649141	0.410076194644684	0.491407086807768	0.343781526271837	0.217123529486893	0.153247030450248	0.345971555308008	0.603088915166929	0.196512045648897	0.55642424596595	0.408838772555038	0.581948642976399	0.52280150383063	0.555524930074086	0.3190694687542	0.266582558741766	0.634572465893035	0.435513605577793	0.243177241628998	0.244010080446848	0.469731311576537	0.549523336844935	0.529630674517716	0.157010433890342	0.0865138336289186	0.244885057163725	0.223357856189413	0.643067611198472	0.205929643892421	0.547624250241143	0.458775989425499	0.444682024549793	0.480436119459452	0.570829519168636	0.42846050192975	0.493932239781229	0.424243897715083
CRC0066	0.321898393645639	0.553216039505914	0.538326883966368	0.564527538991917	0.396797620151259	0.514760724242863	0.510980040966895	0.840473041699206	0.520158369709441	0.524941101039087	0.568830549107567	0.471179431473191	0.50133900399378	0.271181880243451	0.565076210303372	0.465591057774253	0.531533381131448	0.631388502235148	0.58513214838773	0.428444210142913	0.16428455342711	0.496058400609476	0.32984284674126	0.219747746883081	0.406256293868471	0.182408721440403	0.496104215266525	0.468144291343033	0.329545536396328	0.324600054642666	0.557834457989458	0.123156681473975	0.298148063650877	0.424845768269209	0.494654049547019	0.542239450888689	0.402115396373068	0.504838614708255	0.468451530630656	0.439901194678767	0.280499453060065	0.54291188090427	0.422378649801798	0.53520187517892	0.590424989371683	0.534984266644973	0.546101380039924	0.259886452390651	0.613409500369499	0.490470571006964	0.452209560252556	0.384784500733503	0.476669996316448	0.530003262459467	0.393920208316255	0.484860577785684	0.335683638260746	0.386277933129557	0.516903375278447	0.564025081641254	0.588352207108563	0.434342890613161	0.429925087539935	0.551252830093093	0.545546658120328	0.429178151327478	0.483884552565359	0.429655889775341	0.570540145385805	0.341334483060264	0.264471964733049	0.598820902290576	0.506343597998769	0.445617284622207	0.694065163145235	0.643488706489468	0.488653653986112	0.289466400960284	0.612113229293207	0.372714175082545	0.469682788758741	0.523912726958085	0.41639106751786	0.505237194720182	0.275265742171994	0.211084055242034	0.447734303560991	0.381723663508609	0.449633324417743	0.433401911452335	0.631422824520489	0.402697467467874	0.285906530027558	0.361781695727941	0.321449237278875	0.680556459072433	0.259117097721783	0.427379318933118	0.340642907846641	0.499166271742007	0.458622175783005	0.418004203141382	0.37749460231993	0.341998449946619	0.576793741448795	0.525097930088848	0.316872293473404	0.389607784355921	0.425722139877834	0.60706902283856	0.605090647819513	0.141300427701342	0.243084078344129	0.283957402407149	0.21073599021448	0.55324346194597	0.247702532823266	0.583225612352333	0.502796801134716	0.461440592587056	0.599159366429458	0.469477706062598	0.333828568971697	0.616164355306405	0.444476874746706
CRC0069	0.51370218484728	0.563763983039414	0.534610742305841	0.561814034779469	0.19249078323035	0.496648185785636	0.475110636241718	0.454128460073271	0.915332025669129	0.502823192112536	0.587139954837673	0.41204706400309	0.354505915877795	0.300056286464177	0.502271040530776	0.4954221513344	0.564516207809027	0.555597553898712	0.52424196229256	0.474958701462741	0.193523879295236	0.610729153715545	0.435101545752727	0.372638037901521	0.305383838591498	0.245901216470008	0.532376100631035	0.343683223813485	0.390258588621085	0.317929168546465	0.634468605413562	0.28965954731951	0.289052442334547	0.473706957131957	0.46730199451956	0.522933242400656	0.482724896698265	0.433164423804465	0.21867146479299	0.454387702163451	0.349840585771749	0.503641224674972	0.137540171970058	0.450742357508977	0.573295163676119	0.470613307542287	0.478390391277258	0.465639254710383	0.710181874101192	0.496192882066251	0.556268100218383	0.446652048718322	0.564424872192233	0.517332771775085	0.39185508732457	0.514655063352909	0.456723150211675	0.487779146451554	0.520742050538972	0.585303970803593	0.563353539801947	0.562128056483955	0.41843538823058	0.522541120958958	0.601797333084312	0.465284606111039	0.506552591035476	0.388298669618512	0.621041242698815	0.5321468577648	0.189443771542012	0.547552960519544	0.496465202838635	0.593657661342271	0.603051337515552	0.652635379571363	0.243387318666436	0.274256064576543	0.42992708973152	0.360513304862491	0.401421380300272	0.366236147006178	0.506269759055526	0.612249885589354	0.29775946523682	0.168034030331439	0.402555332894144	0.354782152877883	0.321311361056807	0.481736015020376	0.538789730582794	0.380307586194425	0.478487818378963	0.366077157011429	0.330660012172312	0.62628574272044	0.322294311051274	0.564096977781852	0.478228574413226	0.602114333661864	0.481695229955091	0.413436060750417	0.404174329505942	0.320977475251651	0.421860819103622	0.444699529533106	0.452315470789246	0.386516478155437	0.420679413900344	0.579370605364077	0.385232617228579	0.390669795510944	0.274508226130059	0.449930673269664	0.111517595034389	0.56933045885571	0.435545864636124	0.665081699551433	0.486906417157713	0.427822972729529	0.531244523131222	0.58910816298029	0.276224768639539	0.551351088423303	0.291555991009253
CRC0076	0.320498377767814	0.523623645654401	0.351952784609091	0.544992772486212	0.291696664698515	0.486474828273706	0.327962826810298	0.458508209144988	0.415241580993501	0.797063709202012	0.584383161864995	0.556457362333928	0.493508463482862	0.407026964918092	0.324451753963984	0.51343886402573	0.261966986492425	0.538258873952548	0.546574182049416	0.249922938119963	0.157032424785073	0.527248449867264	0.321827376413512	0.292134532787506	0.362251460585123	0.286479840277642	0.413529217740274	0.3440292110568	0.398021645943203	0.347672230418516	0.410520143618341	0.311280331072636	0.403516698094144	0.443850004554266	0.416142645982716	0.392361990385434	0.449521458820312	0.470768348523671	0.464104381738675	0.407009065981968	0.319752623054799	0.379832920377131	0.32083557318841	0.358999628196974	0.387914378059362	0.41183994945553	0.4538486858859	0.372893001428416	0.562871744739295	0.402644066332912	0.458805355534964	0.385451656235461	0.260439509763184	0.461123061401786	0.497277347711267	0.418337636858731	0.465405424364019	0.469292630298829	0.397482979510802	0.487385846378793	0.592917067016366	0.38025345855732	0.45886183240948	0.367271965192279	0.355228330598204	0.484975556105205	0.510581623547754	0.36444361832169	0.301405518557426	0.399042691078991	0.240415525819809	0.274964029096099	0.441096809026995	0.434747818451759	0.491870758945747	0.437481173073813	0.476748954525193	0.42884660689805	0.635942657525863	0.440097605148552	0.514959370214954	0.46632911650504	0.350487153265282	0.476970046171047	0.386623501166768	0.322736277506917	0.452938968441889	0.262169703596509	0.334908188269789	0.395337978634983	0.553278204315675	0.447457458611131	0.298490632474535	0.352696464346035	0.101549052658653	0.407708296767155	0.383245927394932	0.371895416602435	0.318728327726166	0.415582112810981	0.324452058881435	0.402738789729538	0.510838035433938	0.549333315744423	0.336869211718958	0.316374617338017	0.43026654259384	0.226119315547876	0.470681920755199	0.552924711415653	0.468561767540508	0.0412433841710394	0.358822230784205	0.39240587367305	0.390279092528952	0.326351494203158	0.275975508435483	0.559370380722945	0.429932530990311	0.398526012280399	0.572589937917989	0.568173808263328	0.329739772566049	0.483913522112887	0.368324466576234
